Course date,Year,Quarter,Member,Course code,Course ID,EventbriteID,Status,Registered,Attended,Delivery,Training days,Capacity,Course Type,Day2,Tool
2/06/2016,2016,2,ACU,REFINE101,24944561856_ACU_REFINE101,24944561856,Processed,4,3,InPerson,0.5,,,,Open Refine
6/06/2016,2016,2,LTU,REGEX101,,,Processed,,,InPerson,0.5,,,,Regular Expressions
14/06/2016,2016,2,LTU,EXCEL101,,,Processed,,,InPerson,1,,,,Excel
20/06/2016,2016,2,UNE,EXCEL101,25898210244_UNE_EXCEL101,25898210244,Processed,8,8,InPerson,1,,,,Excel
20/06/2016,2016,2,,,,25557434976,Processed,14,11,InPerson,1,,,,
21/06/2016,2016,2,UTS,EXCEL101,25364853961_UTS_EXCEL101,25364853961,Processed,3,3,InPerson,1,,,,Excel
21/06/2016,2016,2,LTU,UNIX101,,,Processed,,,InPerson,0.5,,,,Unix
21/06/2016,2016,2,LTU,GIT101,,,Processed,,,InPerson,0.5,,,,Git
22/06/2016,2016,2,LTU,PYTHON101,,,Processed,,,InPerson,1,,,,Python
23/06/2016,2016,2,UTS,REFINE101,25365039516_UTS_REFINE101,25365039516,Processed,4,2,InPerson,0.5,,,,Open Refine
23/06/2016,2016,2,UTS,GFT101,25365031492_UTS_GFT101,25365031492,Processed,5,3,InPerson,0.5,,,,Google Fusion Tables
27/06/2016,2016,2,UON,REGEX101,22432232411_UON_REGEX101,22432232411,Processed,13,7,InPerson,0.5,,,,Regular Expressions
27/06/2016,2016,2,WSU,EXCEL101,24249134815_WSU_EXCEL101,24249134815,Processed,15,12,InPerson,1,,,,Excel
27/06/2016,2016,2,LTU,Introduction to the Nectar Cloud,,,Processed,,,InPerson,0.5,,,,Nectar
28/06/2016,2016,2,UON,EXCEL101,22432474134_UON_EXCEL101,22432474134,Processed,29,12,InPerson,1,,,,Excel
29/06/2016,2016,2,UC,EXCEL101,26089863484_UC_EXCEL101,26089863484,Processed,6,6,InPerson,1,,,,Excel
29/06/2016,2016,2,UON,GFT101,22434946529_UON_GFT101,22434946529,Processed,17,11,InPerson,0.5,,,,Google Fusion Tables
29/06/2016,2016,2,UON,REFINE101,22434717845_UON_REFINE101,22434717845,Processed,18,4,InPerson,0.5,,,,Open Refine
29/06/2016,2016,2,USYD,PYTHON101,25398192678_USYD_PYTHON101,25398192678,Processed,18,9,InPerson,1,,,,Python
4/07/2016,2016,2,UNSW,EXCEL101,,,Processed,,,InPerson,1,,,,Excel
5/07/2016,2016,3,UON,RDMT001,26048883913_UON_RDMT001,26048883913,Processed,12,12,InPerson,0.5,,,,RDMT
5/07/2016,2016,2,UNSW,GFT101,,,Processed,,,InPerson,0.5,,,,Google Fusion Tables
6/07/2016,2016,3,USYD,MATLAB101,25557125049_USYD_MATLAB101,25557125049,Processed,20,13,InPerson,1,,,,MATLAB
6/07/2016,2016,3,LTU,EXCEL101,,,Processed,,,InPerson,1,,,,Excel
7/07/2016,2016,2,UNSW,REFINE101,,,Processed,,,InPerson,0.5,,,,Open Refine
7/07/2016,2016,2,UNSW,REGEX101,,,Processed,,,InPerson,0.5,,,,Regular Expressions
11/07/2016,2016,3,UC,REFINE101,26089864487_UC_REFINE101,26089864487,Processed,6,5,InPerson,0.5,,,,Open Refine
11/07/2016,2016,2,UNSW,SC101,,,Processed,,,InPerson,2,,,,Software Carpentry
12/07/2016,2016,3,UTS,REFINE101,26298677051_UTS_REFINE101,26298677051,Processed,0,0,InPerson,0.5,,,,Open Refine
13/07/2016,2016,3,WSU,GFT101,24249193992_WSU_GFT101,24249193992,Processed,7,6,InPerson,0.5,,,,Google Fusion Tables
13/07/2016,2016,3,USYD,HPC301,25398208726_USYD_HPC301,25398208726,Processed,19,0,InPerson,1,,,,HPC
13/07/2016,2016,3,WSU,RDMT001,24249175938_WSU_RDMT001,24249175938,Processed,13,9,InPerson,0.5,,,,RDMT
13/07/2016,2016,3,WSU,REGEX101,24249160893_WSU_REGEX101,24249160893,Processed,10,5,InPerson,0.5,,,,Regular Expressions
14/07/2016,2016,3,UNE,GFT101,25917112782_UNE_GFT101,25917112782,Processed,9,7,InPerson,0.5,,,,Google Fusion Tables
14/07/2016,2016,3,UNE,REFINE101,25917055611_UNE_REFINE101,25917055611,Processed,5,4,InPerson,0.5,,,,Open Refine
14/07/2016,2016,2,UNSW,RDMT001,,,Processed,,,InPerson,0.5,,,,RDMT
18/07/2016,2016,2,UNSW,HPC301,,,Processed,,,InPerson,1,,,,HPC
19/07/2016,2016,3,UTS,SC101,25370691421_UTS_SC101,25370691421,Processed,0,0,InPerson,2,,,,Software Carpentry
20/07/2016,2016,3,USYD,REGEX101,25398240822_USYD_REGEX101,25398240822,Processed,16,7,InPerson,0.5,,,,Regular Expressions
20/07/2016,2016,2,UNSW,UNIX101,,,Processed,,,InPerson,0.5,,,,Unix
27/07/2016,2016,3,USYD,UNIX101,25398194684_USYD_UNIX101,25398194684,Processed,18,12,InPerson,0.5,,,,Unix
9/08/2016,2016,3,LTU,GFT101,,,Processed,,,InPerson,0.5,,,,Google Fusion Tables
9/08/2016,2016,3,LTU,REFINE101,,,Processed,,,InPerson,0.5,,,,Open Refine
15/08/2016,2016,3,SCU,EXCEL101,,,Processed,,,InPerson,1,,,,Excel
16/08/2016,2016,3,WSU,SC101,24249208034_WSU_SC101,24249208034,Processed,18,13,InPerson,2,,,,Software Carpentry
16/08/2016,2016,3,SCU,GFT101,,,Processed,,,InPerson,0.5,,,,Google Fusion Tables
16/08/2016,2016,3,SCU,REFINE101,,,Processed,,,InPerson,0.5,,,,Open Refine
17/08/2016,2016,3,SCU,REGEX201,,,Processed,,,InPerson,0.5,,,,Regular Expressions
18/08/2016,2016,3,SCU,UNIX101,,,Processed,,,InPerson,0.5,,,,Unix
18/08/2016,2016,3,SCU,GIT101,,,Processed,,,InPerson,0.5,,,,Git
19/08/2016,2016,3,SCU,PYTHON101,,,Processed,,,InPerson,1,,,,Python
24/08/2016,2016,3,USYD,PYTHON101,26534974824_USYD_PYTHON101,26534974824,Processed,17,13,InPerson,1,,,,Python
24/08/2016,2016,3,UNE,EXCEL101,26320601628_UNE_EXCEL101,26320601628,Processed,14,11,InPerson,1,,,,Excel
24/08/2016,2016,3,SCU,RDMT001,,,Processed,,,InPerson,0.5,,,,RDMT
30/08/2016,2016,3,UON,RDMT001,27039065573_UON_RDMT001,27039065573,Processed,13,10,InPerson,0.5,,,,RDMT
31/08/2016,2016,3,USYD,MATLAB101,26534986860_USYD_MATLAB101,26534986860,Processed,18,9,InPerson,1,,,,MATLAB
1/09/2016,2016,3,WSU,EXCEL101,24249257181_WSU_EXCEL101,24249257181,Processed,12,7,InPerson,1,,,,Excel
5/09/2016,2016,3,USYD,UNIX101,27400931925_USYD_UNIX101,27400931925,Processed,17,13,InPerson,0.5,,,,Unix
6/09/2016,2016,3,UC,PYTHON101,27248398694_UC_PYTHON101,27248398694,Processed,10,5,InPerson,1,,,,Python
7/09/2016,2016,3,USYD,HPC301,26534991875_USYD_HPC301,26534991875,Processed,10,0,InPerson,1,,,,HPC
8/09/2016,2016,3,UNE,REGEX101,26675697730_UNE_REGEX101,26675697730,Processed,7,5,InPerson,0.5,,,,Regular Expressions
8/09/2016,2016,3,LTU,UNIX101,,,Processed,,,InPerson,0.5,,,,Unix
13/09/2016,2016,3,WSU,GFT101,26048031363_WSU_GFT101,26048031363,Processed,4,2,InPerson,0.5,,,,Google Fusion Tables
13/09/2016,2016,3,WSU,RDMT001,26048026348_WSU_RDMT001,26048026348,Processed,2,1,InPerson,0.5,,,,RDMT
14/09/2016,2016,3,UTS,EXCEL101,25370985300_UTS_EXCEL101,25370985300,Processed,6,0,InPerson,1,,,,Excel
14/09/2016,2016,3,USYD,R101,27117480113_USYD_R101,27117480113,Processed,14,11,InPerson,1,,,,R
16/09/2016,2016,3,LTU,EXCEL101,,,Processed,,,InPerson,1,,,,Excel
20/09/2016,2016,3,UON,EXCEL101,26436122153_UON_EXCEL101,26436122153,Processed,21,12,InPerson,1,,,,Excel
20/09/2016,2016,3,LTU,HPC301,,,Processed,,,InPerson,1,,,,HPC
21/09/2016,2016,3,UNE,UNIX101,26675748883_UNE_UNIX101,26675748883,Processed,10,9,InPerson,0.5,,,,Unix
21/09/2016,2016,3,UON,SC101,26437068985_UON_SC101,26437068985,Processed,23,18,InPerson,2,,,,Software Carpentry
21/09/2016,2016,3,USYD,UNIX101,27120013691_USYD_UNIX101,27120013691,Processed,4,0,InPerson,0.5,,,,Unix
22/09/2016,2016,3,WSU,GFT101,24249309337_WSU_GFT101,24249309337,Processed,1,1,InPerson,0.5,,,,Google Fusion Tables
22/09/2016,2016,3,WSU,RDMT001,24249288274_WSU_RDMT001,24249288274,Processed,5,5,InPerson,0.5,,,,RDMT
22/09/2016,2016,3,WSU,REGEX101,24249273229_WSU_REGEX101,24249273229,Processed,1,1,InPerson,0.5,,,,Regular Expressions
23/09/2016,2016,3,UON,UNIX101,26437174300_UON_UNIX101,26437174300,Processed,14,9,InPerson,0.5,,,,Unix
26/09/2016,2016,3,UNSW,EXCEL101,26649081119_UNSW_EXCEL101,26649081119,Processed,9,7,InPerson,1,,,,Excel
26/09/2016,2016,3,USYD,EXCEL101,27120017703_USYD_EXCEL101,27120017703,Processed,18,11,InPerson,1,,,,Excel
27/09/2016,2016,3,UNSW,SC101,26649393052_UNSW_SC101,26649393052,Processed,17,17,InPerson,2,,,,Software Carpentry
27/09/2016,2016,3,USYD,GIT101,27120028736_USYD_GIT101,27120028736,Processed,6,0,InPerson,0.5,,,,Git
27/09/2016,2016,3,USYD,REFINE101,27120023721_USYD_REFINE101,27120023721,Processed,3,0,InPerson,0.5,,,,Open Refine
28/09/2016,2016,3,USYD,REGEX201,27120113991_USYD_REGEX201,27120113991,Processed,4,3,InPerson,0.5,,,,Regular Expressions
28/09/2016,2016,3,USYD,REGEX101,27120041775_USYD_REGEX101,27120041775,Processed,6,2,InPerson,0.5,,,,Regular Expressions
29/09/2016,2016,3,USYD,PYTHON101,27120121012_USYD_PYTHON101,27120121012,Processed,17,7,InPerson,1,,,,Python
30/09/2016,2016,3,USYD,MATLAB101,27120135054_USYD_MATLAB101,27120135054,Processed,18,8,InPerson,1,,,,MATLAB
4/10/2016,2016,4,LTU,EXCEL101,,,Processed,,,InPerson,1,,,,Excel
5/10/2016,2016,4,UNE,PYTHON101,27720094549_UNE_PYTHON101,27720094549,Processed,17,15,InPerson,1,,,,Python
5/10/2016,2016,4,USYD,R101,27921738672_USYD_R101,27921738672,Processed,13,10,InPerson,1,,,,R
5/10/2016,2016,4,LTU,SC101,,,Processed,,,InPerson,2,,,,Software Carpentry
6/10/2016,2016,4,UNE,GIT101,27720111600_UNE_GIT101,27720111600,Processed,12,10,InPerson,0.5,,,,Git
6/10/2016,2016,4,UNE,UNIX101,27720101570_UNE_UNIX101,27720101570,Processed,11,10,InPerson,0.5,,,,Unix
10/10/2016,2016,4,WSU,EXCEL101,24249321373_WSU_EXCEL101,24249321373,Processed,4,2,InPerson,1,,,,Excel
11/10/2016,2016,4,WSU,RDMT001,24249355475_WSU_RDMT001,24249355475,Processed,4,2,InPerson,0.5,,,,RDMT
12/10/2016,2016,4,USYD,EXCEL101,27921758732_USYD_EXCEL101,27921758732,Processed,10,9,InPerson,1,,,,Excel
