Course date,Year,Quarter,Member,Course code,Course ID,EventbriteID,Status,Registered,Attended,Delivery,Training days,Capacity,Course Type,Day2,Tool,Month,Day,Primary_Trainer,Assistant_Trainer,Unique_ID
15/03/2016,2016,1,ACU,RDMT001,21419841322_ACU_RDMT001,21419841322,Processed,39,23,InPerson,0.5,,,,RDMT,3,Tue,GM,,42444_ACU_RDMT001
17/03/2016,2016,1,UNE,EXCEL101,21536114097_UNE_EXCEL101,21536114097,Processed,13,8,InPerson,1,,,,Excel,3,Thu,ES,,42446_UNE_EXCEL101
18/03/2016,2016,1,UC,PYTHON101,22431045862_UC_PYTHON101,22431045862,Processed,0,0,InPerson,1,,,,Python,3,Fri,,,42447_UC_PYTHON101
30/03/2016,2016,1,UNSW,EXCEL101,,,Processed,,,InPerson,1,,,,Excel,3,Wed,"KW, WC",,42459_UNSW_EXCEL101
31/03/2016,2016,1,UNSW,RDMT001,,,Processed,,,InPerson,0.5,,,,RDMT,3,Thu,"JB, UNSWlib",,42460_UNSW_RDMT001
31/03/2016,2016,1,UNSW,SC101,,,Processed,,,InPerson,2,,,,Software Carpentry,3,Thu,"CH, KW",,42460_UNSW_SC101
05/04/2016,2016,2,UON,EXCEL101,22140026415_UON_EXCEL101,22140026415,Processed,27,27,InPerson,1,,,,Excel,4,Tue,"CH, WC",,42465_UON_EXCEL101
06/04/2016,2016,2,UON,SC101,22143050460_UON_SC101,22143050460,Processed,27,22,InPerson,2,,,,Software Carpentry,4,Wed,"CH, WC",,42466_UON_SC101
08/04/2016,2016,2,UON,UNIX101,22140321297_UON_UNIX101,22140321297,Processed,22,16,InPerson,0.5,,,,Unix,4,Fri,,,42468_UON_UNIX101
11/04/2016,2016,2,WSU,UNIX101,22437215315_WSU_UNIX101,22437215315,Processed,10,5,InPerson,0.5,,,,Unix,4,Mon,"WC, PB",,42471_WSU_UNIX101
12/04/2016,2016,2,UTS,SC101,24249514952_UTS_SC101,24249514952,Processed,24,21,InPerson,2,,,,Software Carpentry,4,Tue,"JB, CH",,42472_UTS_SC101
13/04/2016,2016,2,WSU,EXCEL101,22677877141_WSU_EXCEL101,22677877141,Processed,9,6,InPerson,1,,,,Excel,4,Wed,"WC, PB",,42473_WSU_EXCEL101
18/04/2016,2016,2,USYD,SC101,23368724484_USYD_SC101,23368724484,Processed,22,18,InPerson,2,,,,Software Carpentry,4,Mon,"JB, WC",,42478_USYD_SC101
19/04/2016,2016,2,ACU,EXCEL101,24247371541_ACU_EXCEL101,24247371541,Processed,13,11,InPerson,1,,,,Excel,4,Tue,,,42479_ACU_EXCEL101
20/04/2016,2016,2,ACU,EXCEL101,24247576153_ACU_EXCEL101,24247576153,Processed,10,8,InPerson,1,,,,Excel,4,Wed,"KW, WC",,42480_ACU_EXCEL101
20/04/2016,2016,2,WSU,RDMT001,22669456956_WSU_RDMT001,22669456956,Processed,9,8,InPerson,0.5,,,,RDMT,4,Wed,"WC, PB, AW",,42480_WSU_RDMT001
22/04/2016,2016,2,WSU,GFT101,22677930300_WSU_GFT101,22677930300,Processed,19,12,InPerson,0.5,,,,Google Fusion Tables,4,Fri,"WC, PB, AW",,42482_WSU_GFT101
22/04/2016,2016,2,WSU,RDMT001,22677927291_WSU_RDMT001,22677927291,Processed,22,13,InPerson,0.5,,,,RDMT,4,Fri,"WC, PB, AW",,42482_WSU_RDMT001
22/04/2016,2016,2,WSU,REGEX101,22677924282_WSU_REGEX101,22677924282,Processed,12,8,InPerson,0.5,,,,Regular Expressions,4,Fri,"WC, PB, AW",,42482_WSU_REGEX101
26/04/2016,2016,2,UTS,EXCEL101,24503325105_UTS_EXCEL101,24503325105,Processed,12,8,InPerson,1,,,,Excel,4,Tue,"JB, CH",,42486_UTS_EXCEL101
27/04/2016,2016,2,UTS,EXCEL101,24503331123_UTS_EXCEL101,24503331123,Processed,15,10,InPerson,1,,,,Excel,4,Wed,"JB, WC",,42487_UTS_EXCEL101
28/04/2016,2016,2,UTS,REFINE101,24503337141_UTS_REFINE101,24503337141,Processed,15,8,InPerson,0.5,,,,Open Refine,4,Thu,"KW, WC",,42488_UTS_REFINE101
28/04/2016,2016,2,UTS,GFT101,24503334132_UTS_GFT101,24503334132,Processed,21,11,InPerson,0.5,,,,Google Fusion Tables,4,Thu,"KW, WC",,42488_UTS_GFT101
02/05/2016,2016,2,WSU,EXCEL101,22678103819_WSU_EXCEL101,22678103819,Processed,16,10,InPerson,1,,,,Excel,5,Mon,"WC, PB",,42492_WSU_EXCEL101
04/05/2016,2016,2,UNSW,GFT101,,,Processed,,,InPerson,0.5,,,,Google Fusion Tables,5,Wed,"WC, AW",,42494_UNSW_GFT101
11/05/2016,2016,2,WSU,RDMT001,24247857996_WSU_RDMT001,24247857996,Processed,14,12,InPerson,0.5,,,,RDMT,5,Wed,"PB, AW",,42501_WSU_RDMT001
11/05/2016,2016,2,UNSW,REFINE101,,,Processed,,,InPerson,0.5,,,,Open Refine,5,Wed,"WC, KW",,42501_UNSW_REFINE101
12/05/2016,2016,2,USYD,PYTHON101,24728581854_USYD_PYTHON101,24728581854,Processed,19,17,InPerson,1,,,,Python,5,Thu,"JB, KW",,42502_USYD_PYTHON101
13/05/2016,2016,2,UNE,REGEX101,22435974604_UNE_REGEX101,22435974604,Processed,6,6,InPerson,0.5,,,,Regular Expressions,5,Fri,ES,,42503_UNE_REGEX101
18/05/2016,2016,2,USYD,GIT101,24728627992_USYD_GIT101,24728627992,Processed,20,17,InPerson,0.5,,,,Git,5,Wed,"JB, KW",,42508_USYD_GIT101
19/05/2016,2016,2,UNE,EXCEL101,22432065913_UNE_EXCEL101,22432065913,Processed,9,6,InPerson,1,,,,Excel,5,Thu,ES,,42509_UNE_EXCEL101
20/05/2016,2016,2,LTU,EXCEL101,,,Processed,,,InPerson,1,,,,Excel,5,Fri,GM,,42510_LTU_EXCEL101
26/05/2016,2016,2,USYD,REGEX101,24728621974_USYD_REGEX101,24728621974,Processed,18,15,InPerson,0.5,,,,Regular Expressions,5,Thu,"AW, WC",,42516_USYD_REGEX101
27/05/2016,2016,2,UNSW,REGEX101,,,Processed,,,InPerson,0.5,,,,Regular Expressions,5,Fri,"WC, AW",,42517_UNSW_REGEX101
01/06/2016,2016,2,ACU,GFT101,24944347214_ACU_GFT101,24944347214,Processed,9,7,InPerson,0.5,,,,Google Fusion Tables,6,Wed,GM,,42522_ACU_GFT101
01/06/2016,2016,2,ACU,REFINE101,24944453532_ACU_REFINE101,24944453532,Processed,9,7,InPerson,0.5,,,,Open Refine,6,Wed,GM,,42522_ACU_REFINE101
02/06/2016,2016,2,ACU,GFT101,24944848714_ACU_GFT101,24944848714,Processed,10,9,InPerson,0.5,,,,Google Fusion Tables,6,Thu,"AW, WC",,42523_ACU_GFT101
02/06/2016,2016,2,ACU,REFINE101,24944561856_ACU_REFINE101,24944561856,Processed,4,3,InPerson,0.5,,,,Open Refine,6,Thu,"AW, WC",,42523_ACU_REFINE101
06/06/2016,2016,2,LTU,REGEX101,,,Processed,,,InPerson,0.5,,,,Regular Expressions,6,Mon,GM,,42527_LTU_REGEX101
14/06/2016,2016,2,LTU,EXCEL101,,,Processed,,,InPerson,1,,,,Excel,6,Tue,GM,,42535_LTU_EXCEL101
20/06/2016,2016,2,UNE,EXCEL101,25898210244_UNE_EXCEL101,25898210244,Processed,8,8,InPerson,1,,,,Excel,6,Mon,ES,,42541_UNE_EXCEL101
20/06/2016,2016,2,,,,25557434976,Processed,14,11,InPerson,1,,,,,6,Mon,,,42541__
21/06/2016,2016,2,UTS,EXCEL101,25364853961_UTS_EXCEL101,25364853961,Processed,3,3,InPerson,1,,,,Excel,6,Tue,"KW, JB",,42542_UTS_EXCEL101
21/06/2016,2016,2,LTU,UNIX101,,,Processed,,,InPerson,0.5,,,,Unix,6,Tue,GM,,42542_LTU_UNIX101
21/06/2016,2016,2,LTU,GIT101,,,Processed,,,InPerson,0.5,,,,Git,6,Tue,GM,,42542_LTU_GIT101
22/06/2016,2016,2,LTU,PYTHON101,,,Processed,,,InPerson,1,,,,Python,6,Wed,GM,,42543_LTU_PYTHON101
23/06/2016,2016,2,UTS,REFINE101,25365039516_UTS_REFINE101,25365039516,Processed,4,2,InPerson,0.5,,,,Open Refine,6,Thu,"KW, JB",,42544_UTS_REFINE101
23/06/2016,2016,2,UTS,GFT101,25365031492_UTS_GFT101,25365031492,Processed,5,3,InPerson,0.5,,,,Google Fusion Tables,6,Thu,"KW, JB",,42544_UTS_GFT101
27/06/2016,2016,2,UON,REGEX101,22432232411_UON_REGEX101,22432232411,Processed,13,7,InPerson,0.5,,,,Regular Expressions,6,Mon,"RB, WC",,42548_UON_REGEX101
27/06/2016,2016,2,WSU,EXCEL101,24249134815_WSU_EXCEL101,24249134815,Processed,15,12,InPerson,1,,,,Excel,6,Mon,"AW, KW",,42548_WSU_EXCEL101
27/06/2016,2016,2,LTU,Introduction to the Nectar Cloud,,,Processed,,,InPerson,0.5,,,,Nectar,6,Mon,,,42548_LTU_Introduction to the Nectar Cloud
28/06/2016,2016,2,UON,EXCEL101,22432474134_UON_EXCEL101,22432474134,Processed,29,12,InPerson,1,,,,Excel,6,Tue,"RB, WC",,42549_UON_EXCEL101
29/06/2016,2016,2,UC,EXCEL101,26089863484_UC_EXCEL101,26089863484,Processed,6,6,InPerson,1,,,,Excel,6,Wed,LS,,42550_UC_EXCEL101
29/06/2016,2016,2,UON,GFT101,22434946529_UON_GFT101,22434946529,Processed,17,11,InPerson,0.5,,,,Google Fusion Tables,6,Wed,"RB, WC",,42550_UON_GFT101
29/06/2016,2016,2,UON,REFINE101,22434717845_UON_REFINE101,22434717845,Processed,18,4,InPerson,0.5,,,,Open Refine,6,Wed,"RB, WC",,42550_UON_REFINE101
29/06/2016,2016,2,USYD,PYTHON101,25398192678_USYD_PYTHON101,25398192678,Processed,18,9,InPerson,1,,,,Python,6,Wed,"JB, CH",,42550_USYD_PYTHON101
04/07/2016,2016,2,UNSW,EXCEL101,,,Processed,,,InPerson,1,,,,Excel,7,Mon,"WC, KW",,42555_UNSW_EXCEL101
05/07/2016,2016,3,UON,RDMT001,26048883913_UON_RDMT001,26048883913,Processed,12,12,InPerson,0.5,,,,RDMT,7,Tue,RB,,42556_UON_RDMT001
05/07/2016,2016,2,UNSW,GFT101,,,Processed,,,InPerson,0.5,,,,Google Fusion Tables,7,Tue,"WC, KW",,42556_UNSW_GFT101
06/07/2016,2016,3,USYD,MATLAB101,25557125049_USYD_MATLAB101,25557125049,Processed,20,13,InPerson,1,,,,MATLAB,7,Wed,"JB, WC",,42557_USYD_MATLAB101
06/07/2016,2016,3,LTU,EXCEL101,,,Processed,,,InPerson,1,,,,Excel,7,Wed,GM,,42557_LTU_EXCEL101
07/07/2016,2016,2,UNSW,REFINE101,,,Processed,,,InPerson,0.5,,,,Open Refine,7,Thu,"WC, KW",,42558_UNSW_REFINE101
07/07/2016,2016,2,UNSW,REGEX101,,,Processed,,,InPerson,0.5,,,,Regular Expressions,7,Thu,"WC, KW",,42558_UNSW_REGEX101
11/07/2016,2016,3,UC,REFINE101,26089864487_UC_REFINE101,26089864487,Processed,6,5,InPerson,0.5,,,,Open Refine,7,Mon,LS,,42562_UC_REFINE101
11/07/2016,2016,2,UNSW,SC101,,,Processed,,,InPerson,2,,,,Software Carpentry,7,Mon,"AW, CH",,42562_UNSW_SC101
12/07/2016,2016,3,UTS,REFINE101,26298677051_UTS_REFINE101,26298677051,Processed,0,0,InPerson,0.5,,,,Open Refine,7,Tue,"JB, BS",,42563_UTS_REFINE101
